Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Horario;
CORUÑA (A);POBRA DO CARAMIÑAL (A);POBRA DO CARAMIÑAL;15940;MUELLE COMERCIAL S/N;N;-8,935417;42,609083;1,699;;1,689;970,000;;AVIA;Mixto;L-D: 07:00-23:00;
CORUÑA (A);PORTO DO SON;PORTO DO SON;15970;MUELLE PESQUERO, S/Nº;N;-9,003469;42,726638;;;;887,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);PORTO DO SON;PORTOSIN;15999;MUELLE PESQUERO, S/Nº;N;-8,947358;42,760804;;;;870,000;;REPSOL;Mixto;L-D: 24H;
CORUÑA (A);RIANXO;RIANXO;15920;PORTO DE RIANXO, S/N;N;-8,822417;42,647389;1,729;;1,709;990,000;;VALCARCE;Mixto;L: 07:00-23:00;
CORUÑA (A);RIBEIRA;SANTA UXIA DE RIBEIRA;15960;MUELLE PESQUERO, S/Nº;N;-8,989025;42,561360;;;;830,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);SADA;SADA;15160;MUELLE PESQUERO, S/Nº;N;-8,246525;43,362749;1,699;;1,730;895,000;839,000;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);SADA;SADA;15160;AVENIDA DEL PUERTO, S/N;N;-8,248306;43,357556;1,720;;1,740;;;SADAMAR - GALP;Suministro a barcos deportivos o de recreo;L-D: 24H;
GIPUZKOA;GETARIA;GETARIA;20808;MUELLE PESQUERO S/N;N;-2,127945;43,275584;;;;820,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
GIPUZKOA;HONDARRIBIA;HONDARRIBIA;20280;PASEO IRIBARREN, S/N;N;-1,790722;43,388361;;;;820,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
GIPUZKOA;PASAIA;PASAI DONIBANE;20110;MUELLE DONI-BANE S/N;N;-1,911389;43,322250;;;;820,000;;REPSOL;Suministro a pesqueros;L-D: 08:00-13:00 y 15:00-17:00;
GIRONA;BLANES;BLANES;17300;ESPLANADA DEL PORT S/N;N;2,797889;41,675083;1,839;;1,719;;;CLUB VELA BLANES;Suministro a barcos deportivos o de recreo;L-D: 24H;
GIRONA;BLANES;BLANES;17300;ESPLANADA DEL PORT,S/N;N;2,791333;41,675917;;;;902,000;;PETROCAT;Suministro a pesqueros;L-V: 15:00-18:00;
GIRONA;ESCALA (L');ESCALA (L');17130;PORT LA CLOTA S/N;N;3,126222;42,119194;1,799;;1,699;;;CLUB NAUTIC L'ESCALA;Suministro a barcos deportivos o de recreo;L-D: 24H;
GIRONA;PALAFRUGELL;LLAFRANC;17200;PUERTO DEPORTIVO S/N;N;;;;1,760;1,730;;;REPSOL YPF;Suministro a barcos deportivos o de recreo;L-D: 09:00-13:00 y 16:00-18:00;
GIRONA;PALAMÓS;PALAMOS;17230;MUELLE PESQUERO, S/N;N;3,036364;41,779180;;;;852,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
GIRONA;PORT DE LA SELVA (EL);PORT DE LA SELVA (EL);17489;LLOIA S/N;N;;;1,889;;1,779;;;NINGUNO;Suministro a barcos deportivos o de recreo;L: 09:00-13:00 y 15:00-17:00;
GIRONA;ROSES;ROSES;17480;ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES;N;;;1,889;;1,749;;;PETREM MAR;Suministro a barcos deportivos o de recreo;L-D: 24H;
GIRONA;ROSES;ROSES;17480;MUELLE PESQUERO, S/Nº;N;3,179420;42,252791;;;;837,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
GIRONA;SANT FELIU DE GUÍXOLS;SANT FELIU DE GUIXOLS;17220;ZONA ESPORTIVA DEL PORT, S/Nº;N;3,030528;41,773889;1,759;;1,720;;;CLUB NAUTIC SANT FELIU DE GUIXOLS;Suministro a barcos deportivos o de recreo;L-D: 24H;
GIRONA;SELVA DE MAR (LA);SELVA DE MAR (LA) NUCLI;17489;MUELLE PESQUERO, S/Nº;N;3,200253;42,340846;;;;852,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
GIRONA;TORROELLA DE MONTGRÍ;TORROELLA DE MONTGRI;17258;ESPLANA DEL PORT S/N L'ESTARTIT;N;3,203972;42,052278;;;;909,000;;;Mixto;"X: 08:00-12:00; V: 08:00-12:00";
GIRONA;TORROELLA DE MONTGRÍ;TORROELLA DE MONTGRI;17258;PASSEIG MARÍTIM, S/N;N;;;1,884;;1,747;;;CLUB NAUTIC ESTARTIT;Suministro a barcos deportivos o de recreo;L: 08:00-17:45;
HUELVA;PUNTA UMBRÍA;PUNTA UMBRIA;21100;MUELLE DEPORTIVO PUNTA UMBRIA, S/N - AVDA. LA RIA, S/N;N;-6,959417;37,181750;1,769;;1,789;;;CEPSA;Suministro a barcos deportivos o de recreo;"L-V: 09:30-13:00 y 15:00-17:30; S: 09:30-13:00";
LUGO;BURELA;BURELA;27880;MUELLE PESQUERO, S/Nº;N;-7,254818;43,660537;;;;820,000;779,000;REPSOL;Suministro a pesqueros;L-D: 24H;
LUGO;RIBADEO;RIBADEO;27700;MUELLE PESQUERO, S/Nº;N;-7,038707;43,532759;;;;885,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
LUGO;VIVEIRO;CELEIRO;27863;MUELLE PESQUERO, S/Nº;N;-7,595929;43,676370;;;;820,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;PUERTO PESQUERO-DEPORTIVO;N;-4,615750;36,542333;1,862;;1,862;862,000;;REPSOL;Mixto;L-D: 24H;
MÁLAGA;MANILVA;MANILVA;29691;PUERTO DEPORTIVO DE LA DUQUESA;N;;;1,893;;1,896;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 24H;
MÁLAGA;MARBELLA;MARBELLA;29600;PUERTO DEPORTIVO MARBELLA;N;-4,889944;36,505833;1,719;;1,749;;;ENERPUS;Suministro a barcos deportivos o de recreo;L-D: 24H;
MÁLAGA;VÉLEZ-MÁLAGA;CALETA DE VELEZ;29751;PUERTO PESQUERO,S/Nº;N;-4,069361;36,747611;1,850;;1,853;852,000;;REPSOL;Mixto;L-D: 24H;
MELILLA;MELILLA;MELILLA;52001;Pº MARITIMO ALCALDE RAFAEL GINEL S/N;N;-2,933278;35,288500;1,253;;1,274;;;SHELL;Suministro a barcos deportivos o de recreo;L-D: 08:00-22:00;
MURCIA;ÁGUILAS;AGUILAS;30880;MUELLE PESQUERO, S/N;N;-1,578720;37,402935;;;;847,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
MURCIA;CARTAGENA;CARTAGENA;30202;MUELLE STA. LUCÍA, S/Nº;N;-0,975942;37,597657;;;;847,000;;REPSOL;Mixto;L-D: 24H;
MURCIA;CARTAGENA;CARTAGENA;30202;PASEO ALFONSO XII;N;-0,981722;37,596583;1,679;;1,669;;;ROYMAGA PETROELOS;Suministro a barcos deportivos o de recreo;L-D: 24H;
MURCIA;CARTAGENA;CABO DE PALOS;30370;MUELLE DE LA SAL, S/Nº;N;-0,698720;37,630712;;;;887,000;;REPSOL;Mixto;L-D: 24H;
MURCIA;MAZARRÓN;MAZARRON;30870;MUELLE PESQUERO, S/Nº;N;-1,255109;37,563768;;;;847,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
MURCIA;MAZARRÓN;PUERTO DE MAZARRON;30860;PLAZA DEL MUELLE S/N;N;-1,266250;37,564000;1,795;;1,859;;;NINGUNO;Suministro a barcos deportivos o de recreo;L-D: 24H;
MURCIA;SAN JAVIER;SAN JAVIER;30370;PUERTO TOMAS MAESTRE S/N;N;-0,743194;37,747639;1,699;;1,689;;;PALUSOIL, S.L.U.;Mixto;L: 08:30-18:30;
PALMAS (LAS);ARRECIFE;ARRECIFE;35509;AV. OLOF PALME, S/N;N;-13,537917;28,965028;1,535;;1,500;;;;Suministro a barcos deportivos o de recreo;L: 08:15-19:30;
